Character                                 Character                              (verilogamsCharacter)
Character                                 Character                              (virataCharacter)
Character                                 Character                              (wsmlCharacter)
Character                                 Character                              (xmathCharacter)
configcomment                             Comment
Comment                                   Comment                                (autoitComment)
UnilineComment                            Comment                                (cocoUnilineComment)
Comment                                   Comment                                (oraComment)
AspVBSComment                             Comment                                (AspVBSComment)
AspVBSLineNumber                          Comment                                (AspVBSLineNumber)
CfgComment                                Comment                                (CfgComment)
DnsmasqComment                            Comment                                (DnsmasqComment)
GnashComment                              Comment                                (GnashComment)
HBComment                                 Comment                                (HBComment)
HBFoobar                                  Comment                                (HBFoobar)
IPFComment                                Comment                                (IPFComment)
IstComment                                Comment                                (IstComment)
OPLComment                                Comment                                (OPLComment)
ProgressComment                           Comment                                (ProgressComment)
VRMLComment                               Comment                                (VRMLComment)
Comment                                   Comment                                (a2psComment)
Comment                                   Comment                                (a65Comment)
Comment                                   Comment                                (aapComment)
Comment                                   Comment                                (abapComment)
Comment                                   Comment                                (abaqusComment)
Comment                                   Comment                                (abcComment)
Comment                                   Comment                                (abelComment)
Comment                                   Comment                                (acedbComment)
ScriptComment                             Comment                                (actionScriptComment)
ScriptLineComment                         Comment                                (actionScriptLineComment)
PatComment                                Comment                                (aflexPatComment)
Comment                                   Comment                                (ahdlComment)
Comment                                   Comment                                (alsaconfComment)
Comment                                   Comment                                (amiComment)
Comment                                   Comment                                (amlComment)
Comment                                   Comment                                (amplComment)
Comment                                   Comment                                (apComment)
Comment                                   Comment                                (apacheComment)
Comment                                   Comment                                (archComment)
Comment                                   Comment                                (asm68kComment)
Comment                                   Comment                                (asmComment)
SpecialComment                            Comment                                (asmSpecialComment)
Comment                                   Comment                                (asnComment)
Comment                                   Comment                                (asteriskComment)
Comment                                   Comment                                (asteriskvmComment)
Comment                                   Comment                                (atlasComment)
Comment2                                  Comment                                (atlasComment2)
Comment                                   Comment                                (autohotkeyComment)
Bracket                                   Comment                                (autoitBracket)
Comma                                     Comment                                (autoitComma)
Paren                                     Comment                                (autoitParen)
Comment                                   Comment                                (aveComment)
Comment                                   Comment                                (awkComment)
Comment                                   Comment                                (bComment)
Comment                                   Comment                                (baanComment)
Commenth                                  Comment                                (baanCommenth)
DLLUsage                                  Comment                                (baanDLLUsage)
FunUsage                                  Comment                                (baanFunUsage)
Uncommented                               Comment                                (baanUncommented)
Comment                                   Comment                                (basicComment)
LineNumber                                Comment                                (basicLineNumber)
Comment                                   Comment                                (bcComment)
Comment                                   Comment                                (bdfComment)
Comment                                   Comment                                (bibComment)
Comment2                                  Comment                                (bibComment2)
Comment                                   Comment                                (bstComment)
Comment                                   Comment                                (btmComment)
Region                                    Comment                                (bzrRegion)
Comment                                   Comment                                (cComment)
Comment                                   Comment                                (cComment)
CppOut                                    Comment                                (cCppOut)
CppOut                                    Comment                                (cCppOut)
Comment                                   Comment                                (cabalComment)
Comment                                   Comment                                (calendarComment)
CppOut                                    Comment                                (calendarCppOut)
Comment                                   Comment                                (catalogComment)
Comment                                   Comment                                (cdrdaoconfComment)
Comment                                   Comment                                (cdrtocComment)
Comment                                   Comment                                (cfComment)
ScriptComment                             Comment                                (cfScriptComment)
ScriptLineComment                         Comment                                (cfScriptLineComment)
Comment                                   Comment                                (chaiscriptComment)
Files                                     Comment                                (changelogFiles)
Funcs                                     Comment                                (changelogFuncs)
Comment                                   Comment                                (cheetahComment)
MultiLineComment                          Comment                                (cheetahMultiLineComment)
Comment                                   Comment                                (chillComment)
Comment                                   Comment                                (chordproComment)
Comment                                   Comment                                (clComment)
Comment                                   Comment                                (cleanComment)
Comment                                   Comment                                (clipperComment)
Comment                                   Comment                                (cmakeComment)
Comment                                   Comment                                (cmusrcComment)
Comment                                   Comment                                (cobolComment)
Keys                                      Comment                                (cobolKeys)
Marker                                    Comment                                (cobolMarker)
MultilineComment                          Comment                                (cocoMultilineComment)
Comment                                   Comment                                (confComment)
Comment                                   Comment                                (crmComment)
Cmnt                                      Comment                                (crontabCmnt)
Comment                                   Comment                                (csComment)
XmlComment                                Comment                                (csXmlComment)
XmlCommentLeader                          Comment                                (csXmlCommentLeader)
Comment                                   Comment                                (cscComment)
Comment                                   Comment                                (cshComment)
Comment                                   Comment                                (cspComment)
Comment                                   Comment                                (cssComment)
Comment                                   Comment                                (ctermComment)
Comment                                   Comment                                (cucumberComment)
Comment                                   Comment                                (cuplComment)
Line                                      Comment                                (cvsLine)
BlockComment                              Comment                                (dBlockComment)
LineComment                               Comment                                (dLineComment)
NestedComment                             Comment                                (dNestedComment)
Comment                                   Comment                                (dcdComment)
Comment                                   Comment                                (dclComment)
Name                                      Comment                                (debchangelogName)
Comment                                   Comment                                (debcontrolComment)
Comment                                   Comment                                (debsourcesComment)
Comment                                   Comment                                (defComment)
